Symbol,Date,Open,High,Low,Close,Volume
JPM,13-Mar-2025,229.3,229.5,224.23,225.19,16467800
JPM,14-Mar-2025,228.12,233.143,227.58,232.44,11962100
JPM,17-Mar-2025,231.18,235.6695,230.455,233.93,9586000
JPM,18-Mar-2025,234.32,236.17,233.52,234.97,10344800
JPM,19-Mar-2025,235.74,242.33,234.89,239.11,10120500
JPM,20-Mar-2025,236.56,241.76,236.2,239.01,8328500
JPM,21-Mar-2025,237.81,242.3,236.5,241.63,19326800
JPM,24-Mar-2025,245.48,248.69,244.41,248.06,9422600
JPM,25-Mar-2025,249.31,251.82,247.6247,251.13,9287600
JPM,26-Mar-2025,252.6,254.67,249.78,251.03,12785200
JPM,27-Mar-2025,249.52,250.64,247.18,248.12,8022500
JPM,28-Mar-2025,246.94,249.505,241.11,242.85,11978400
JPM,31-Mar-2025,239.41,245.86,237.3643,245.3,13602900
JPM,01-Apr-2025,242.62,245.69,240.8818,243.66,8054600
JPM,02-Apr-2025,241.6,247.245,241.46,245.82,7758700
JPM,03-Apr-2025,234.27,235.14,227.3,228.69,17188400
JPM,04-Apr-2025,215.3,217.7,208.93,210.28,27170600
JPM,07-Apr-2025,205.77,222.053,202.16,214.44,22914300
JPM,08-Apr-2025,223.52,227.8378,213.25,216.87,19485700
JPM,09-Apr-2025,212.5,237.48,211,234.34,24022300
JPM,10-Apr-2025,230,230.3499,220.1,227.11,18896400
JPM,11-Apr-2025,226.31,238.575,225,236.2,20284400
JPM,14-Apr-2025,237.1,239.78,233.6301,234.72,13017800
JPM,15-Apr-2025,236.1,238.65,232.82,233.13,10910400
JPM,16-Apr-2025,232,233.58,227.93,229.61,9232064
JPM,17-Apr-2025,230.8,234.34,230.55,231.96,9384427
JPM,21-Apr-2025,230.63,231.81,226.336,228.99,8716100
JPM,22-Apr-2025,231.98,235.99,231.37,235.59,0
JPM,23-Apr-2025,240.22,246.79,240,240.88,0
JPM,24-Apr-2025,239.74,245.47,237.58,244.64,9016189
JPM,25-Apr-2025,244.65,245.62,241.75,243.55,0
JPM,28-Apr-2025,244.56,246.8437,240.84,243.22,0
JPM,29-Apr-2025,242.19,245.25,241.69,244.62,0
JPM,30-Apr-2025,241.21,245.22,238.43,244.62,0
JPM,01-May-2025,242.84,248.45,242.17,246.89,0
JPM,02-May-2025,251.26,253.6187,249.4629,252.51,7165000
JPM,05-May-2025,251.18,255.16,250.5901,252.56,5450700
JPM,06-May-2025,250,252.65,249,249.25,6369900
JPM,07-May-2025,249.85,252.45,248.83,249.39,8724200
JPM,08-May-2025,251.57,255.88,251.55,253.47,8320100
JPM,09-May-2025,254.5,255.51,252.34,253.08,5087600
JPM,12-May-2025,262.9,263.6,258.7,260.05,9603800
JPM,13-May-2025,261.03,263.67,260.39,263.01,8588900
JPM,14-May-2025,263,266.64,262.29,265.64,8643000
JPM,15-May-2025,266.97,269.52,264.76,267.49,9214600
JPM,16-May-2025,267.5,268.4593,264.71,267.56,8932900
JPM,19-May-2025,265.55,268.32,261.93,264.88,12145000
JPM,20-May-2025,262.52,266.66,262.3,265.68,8436300
JPM,21-May-2025,264.35,265.65,260.7263,261.04,7464000
JPM,22-May-2025,259.44,262.3,258.8687,260.67,6514100
JPM,23-May-2025,256.81,261.99,256.0001,260.71,6671800
JPM,26-May-2025,260.71,260.71,260.71,260.71,0
JPM,27-May-2025,262.04,265.3,261.99,265.29,7506500
JPM,28-May-2025,266.24,266.72,262.9,263.49,5535400
JPM,29-May-2025,264.8,265.4099,262.53,264.37,5081900
JPM,30-May-2025,263.45,265.33,262.725,264,10977600
JPM,02-Jun-2025,263.02,265.03,261.9,264.66,6011100
JPM,03-Jun-2025,263.73,266.58,262.88,266.27,6998300
JPM,04-Jun-2025,265.92,267.12,264.18,264.22,5915700
JPM,05-Jun-2025,264.74,264.74,260.31,261.95,8179200
JPM,06-Jun-2025,264.33,266.65,264.26,265.73,7738100
JPM,09-Jun-2025,266,267.9,263.35,266.74,8285300
JPM,10-Jun-2025,265.88,268.9,265.85,268.6,7538100
JPM,11-Jun-2025,268.68,269.6199,265.7862,268.15,7434000
JPM,12-Jun-2025,266.86,268.29,265.14,268.24,6609700
JPM,13-Jun-2025,265.08,267.02,262.71,264.95,7098200
JPM,16-Jun-2025,267,271.73,267,270.36,6869744
JPM,17-Jun-2025,268.17,270.59,267.8,269.52,6739200
JPM,18-Jun-2025,270,277.72,269.72,273.96,9586400
JPM,19-Jun-2025,273.96,273.96,273.96,273.96,0
JPM,20-Jun-2025,275.57,277.3,273.8119,275,13969600
JPM,23-Jun-2025,275.06,278.55,272.1128,278.27,8094500
JPM,24-Jun-2025,280.21,282.715,279.51,281.26,9267900
JPM,25-Jun-2025,281.5,284.28,280.91,284.06,6826900
JPM,26-Jun-2025,284.7,289.41,284.47,288.75,8942000
JPM,27-Jun-2025,285.81,288.6962,285.04,287.11,17868600
JPM,30-Jun-2025,290.4,292.65,288.92,289.91,12689100
JPM,01-Jul-2025,290.89,291.13,286.59,290.41,9338200
JPM,02-Jul-2025,292.04,292.822,289.7,292,8158600
JPM,03-Jul-2025,292.15,296.4,291.21,296,6541600
JPM,07-Jul-2025,295.25,296.04,290.08,291.97,8825700
JPM,08-Jul-2025,289.27,289.7,280.31,282.78,15440800
JPM,09-Jul-2025,287.18,287.195,282.48,283.16,11273800
JPM,10-Jul-2025,283,288.31,283,288.19,8413800
JPM,11-Jul-2025,285.52,287.38,283.655,286.86,7384600
JPM,14-Jul-2025,287.07,289.3,285.2556,288.7,9079900
JPM,15-Jul-2025,288,291.95,285.48,286.55,12526100
JPM,16-Jul-2025,288.4,290.73,283.01,285.82,9979700
JPM,17-Jul-2025,283.44,290.2965,283.44,289.9,8509500
JPM,18-Jul-2025,289.52,292.5,288.23,291.27,12217000
JPM,21-Jul-2025,291,294.18,290.58,290.97,7898100
JPM,22-Jul-2025,291.5,293.625,289.18,291.43,6717400
JPM,23-Jul-2025,292.84,296.99,292.55,296.76,7083500
JPM,24-Jul-2025,297.42,299.5899,296.2,296.55,7001200
JPM,25-Jul-2025,296.7,298.9,295.955,298.62,5918800
JPM,28-Jul-2025,297.66,299.43,296.82,298.28,5840400
JPM,29-Jul-2025,300,301.2931,296.2,297.04,7635700
JPM,30-Jul-2025,297.42,300.61,297.38,299.63,8061700
JPM,31-Jul-2025,299.14,300.975,295.5,296.24,14749600
JPM,01-Aug-2025,290.4,291.795,284.2376,289.37,12007100
JPM,04-Aug-2025,290.26,294.32,290.26,294.26,6649500
JPM,05-Aug-2025,294.69,295.785,287.24,291.37,7182300
JPM,06-Aug-2025,292.3,293.29,290.16,291.35,6330100
JPM,07-Aug-2025,292.94,293.46,286.41,286.94,8057100
JPM,08-Aug-2025,288.98,291.23,284.706,288.76,6634500
JPM,11-Aug-2025,289.4,291.32,288.78,289.56,5510100
JPM,12-Aug-2025,291.5,294.75,290.34,292.85,8572000
JPM,13-Aug-2025,293.95,294.55,287.16,290.53,8420400
